"","Year","Season","Date","Prop.BG","Prop.Diatom","Prop.Flag","Prop.Green","Schmidt","Epi_Temp"
"1",1992,1,1992,0.157776819081311,0.360404612185779,0.362135753361854,0.119682815371056,29.7470320097754,19.314285715
"2",1992,2,1992.33333333333,0.487331575784071,0.133375395258132,0.230390594579039,0.148902434378758,30.6499682051096,23.0391666675
"3",1992,3,1992.66666666667,0.372163866182286,0.300679645238735,0.240390034382258,0.0867664541967217,7.59963848634701,17.03
"4",1993,1,1993,0.219401020453044,0.364070095961933,0.294231798499446,0.122297085085578,15.011749844288,15.025388888
"5",1993,2,1993.33333333333,0.614898260457264,0.133725868252385,0.159234988527827,0.0921408827625237,37.7646965896499,25.9604166675
"6",1993,3,1993.66666666667,0.493267580832647,0.221900208404583,0.197916911635051,0.0869152991277184,7.19206502131293,19.3613888875
"7",1994,1,1994,0.199351500473333,0.187263482678082,0.445986606652512,0.167398410196072,22.2987574554495,19.2322222216667
"8",1994,2,1994.33333333333,0.761948612098481,0.0473259227400579,0.115334790035122,0.0753906751263398,23.062139578742,25.43111111
"9",1994,3,1994.66666666667,0.421052426705294,0.117469994796593,0.346027623289113,0.115449955209,5.47600221002615,21.92232143
"10",1995,1,1995,0.0805589959269504,0.323576361250294,0.51974664345348,0.0761179993692755,24.9951156547187,18.274
"11",1995,2,1995.33333333333,0.826514394734314,0.0761910015576759,0.0498607205911409,0.0474338831168694,56.2281682544008,26.9475
"12",1995,3,1995.66666666667,0.863515309275393,0.0349391097195654,0.0735685088983505,0.027977072106691,11.4632566641657,22.07777778
"13",1996,1,1996,0.00219058188143416,0.716150014322352,0.250973790813727,0.0306856129824871,28.8110247149528,17.041875
"14",1996,2,1996.33333333333,0.0989414394267481,0.342992899331788,0.082399601702174,0.47566605953929,49.3316588951511,26.170857142
"15",1996,3,1996.66666666667,0.250232725000723,0.499178476070184,0.158423224007731,0.0921655749213617,13.151002473052,19.8447222233333
"16",1997,1,1997,0.101932162938693,0.228372716969092,0.575463337498274,0.0942317825939406,22.9229212138078,20.496
"17",1997,2,1997.33333333333,0.397995409813189,0.309112798138257,0.187832127331074,0.105059664717481,48.2519247488141,26.1038095233333
"18",1997,3,1997.66666666667,0.658249633035697,0.126018536869369,0.173143409376234,0.0425884207186998,10.9397117306888,22.085416665
"19",1998,1,1998,0.0493137737741281,0.527985162245834,0.325162115274622,0.0975389487054167,38.5877125596651,21.5025
"20",1998,2,1998.33333333333,0.784495613066066,0.10161836616718,0.0753554609295388,0.0385305598372155,37.1093372646527,26.648666666
"21",1998,3,1998.66666666667,0.286562327587912,0.186872359954642,0.385116132807545,0.141449179649901,19.5017728582622,24.08
"22",1999,1,1999,0.160320091655356,0.250150089882969,0.371049573221517,0.218480245240158,27.826531172354,23.87777778
"23",1999,2,1999.33333333333,0.79587749469152,0.0879276342343191,0.0785454642495426,0.0376494068246185,44.5856166882209,27.4875
"24",1999,3,1999.66666666667,0.414614779025748,0.309932702368553,0.183645003615452,0.0918075149902465,3.86067469581617,18.481944445
"25",2000,1,2000,0.05379385925638,0.288751610788113,0.351315852313752,0.306138677641755,21.9170005999957,20.8165584425
"26",2000,2,2000.33333333333,0.848846521247715,0.0376257587750876,0.0604707137636237,0.053057006213574,25.9536167729583,26.228670635
"27",2000,3,2000.66666666667,0.508054883132456,0.114789038134047,0.149572258110619,0.227583820622878,14.2141095877369,20.371629148
"28",2001,1,2001,0.0192998302736427,0.0496133133961828,0.818387979419702,0.112698876910472,26.2543982336032,20.871369255
"29",2001,2,2001.33333333333,0.729677108546195,0.0272743361519141,0.179130933078903,0.0639176222229871,47.5084350989865,26.2337777783333
"30",2001,3,2001.66666666667,0.537652868255065,0.138982391354199,0.160512573500287,0.162852166890448,8.71113313551973,17.7358928575
"31",2002,1,2002,0.00351570460157602,0.444416735089153,0.28632763449724,0.265739925812031,36.6589490802416,16.8420604375
"32",2002,2,2002.33333333333,0.816017283952851,0.080189990542899,0.0406109373421492,0.0631817881621003,74.9268912538129,27.16417857
"33",2002,3,2002.66666666667,0.518236261409278,0.0414078270650481,0.263912815025241,0.176443096500433,16.9111538892307,19.917863248
"34",2003,1,2003,0.0249634877117509,0.134629298264584,0.665318027190925,0.17508918683274,15.4274622951454,18.13550061
"35",2003,2,2003.33333333333,0.686164464973183,0.0804169297931297,0.12656014180751,0.106858463426177,34.0957809615958,24.974305555
"36",2003,3,2003.66666666667,0.782029427314514,0.0498986898355447,0.0963155445099578,0.0717563383399834,8.97257848506779,19.983968252
"37",2004,1,2004,0.157013468337958,0.133475983013426,0.303662553509251,0.405847995139365,39.1702931293159,20.604910715
"38",2004,2,2004.33333333333,0.812685888176495,0.0184320736657096,0.130734719027338,0.0381473191304577,36.2173078876326,24.480873018
"39",2004,3,2004.66666666667,0.649097315298294,0.0342595476199817,0.200694417752293,0.115948719329432,11.5055290137102,19.08321678
"40",2005,1,2005,0.110709953985304,0.230458577500978,0.460638847597959,0.19819262091576,28.0522967317353,18.77901913
"41",2005,2,2005.33333333333,0.818275006460496,0.045627482860283,0.0902012345548797,0.0458962761243413,47.5553533560851,27.6441666675
"42",2005,3,2005.66666666667,0.811669564176416,0.0189970143894623,0.120131478928702,0.0492019425054193,7.63456111034406,21.7974358975
"43",2006,1,2006,0.106290821545034,0.0667734375170882,0.56911221440859,0.257823526529288,30.9233936899381,17.568888886
"44",2006,2,2006.33333333333,0.606511611853823,0.0290938322613151,0.242996238708365,0.121398317176496,56.0489595869254,25.469806408
"45",2006,3,2006.66666666667,0.749347731222853,0.0143243041148788,0.147602211522566,0.0887257531397024,5.09419124536754,19.5363247866667
"46",2007,1,2007,0.0430408546262576,0.00123767102040231,0.728207730829402,0.227513743523937,31.5490947974433,22.436666665
"47",2007,2,2007.33333333333,0.466375304158588,0.0290199353332734,0.322657118380508,0.181947642127631,38.6078213068028,26.929523808
"48",2007,3,2007.66666666667,0.251129183888784,0.0671771602267581,0.436144574415685,0.245549081468773,13.234694927774,21.554545455
"49",2008,1,2008,0.339522738421497,0.0145467753577841,0.46648163689324,0.179448849327479,20.5674762641083,17.8612662325
"50",2008,2,2008.33333333333,0.536910322380213,0.0131495034075208,0.265315776845607,0.184624397366659,30.9131844602368,24.9516161633333
"51",2008,3,2008.66666666667,0.744725098974712,0.00095563032912365,0.133566406689219,0.120752864006945,8.20822847682785,21.56388889
"52",2009,1,2009,0.620114112720013,0.00568959052299782,0.248632905658893,0.125563391098096,32.814381080723,19.334524642
"53",2009,2,2009.33333333333,0.744640777159868,0.0213835723696861,0.124808718873659,0.109166931596787,31.7809346880118,23.8323148133333
"54",2009,3,2009.66666666667,0.482013856834838,0.0013515390772164,0.388134918823976,0.128499685263969,2.49705328747697,21.138811185
"55",2010,1,2010,0.20783158766074,0.0980678183936468,0.479566330345267,0.214534263600346,23.7192355029785,19.867417028
"56",2010,2,2010.33333333333,0.915762830702563,0.0135284857103108,0.0421914702261086,0.0285172133610174,38.9327759876693,27.5709821425
"57",2010,3,2010.66666666667,0.837426928729866,0.0355433806310009,0.0821420832936922,0.0448876073454413,7.1385179904411,23.4317016333333
"58",2011,1,2011,0.353871016388129,0.126358273787497,0.323109581726121,0.196661128098253,42.002298110637,20.24107143
"59",2011,2,2011.33333333333,0.859615642610879,0.00828856773419648,0.0879274075622441,0.0441683820926799,48.0591152533119,28.5402777766667
"60",2011,3,2011.66666666667,0.631909478227618,0.0367745006178794,0.144050751959445,0.187265269195058,4.67504601037897,19.7534188033333
"61",2012,1,2012,0.198695452654169,0.233989767597039,0.470401912922623,0.0969128668261691,23.6363602411876,22.293344158
"62",2012,2,2012.33333333333,0.853623769988908,0.0193655961860672,0.0817196112839698,0.0452910225410549,22.6003439800264,26.963065475
"63",2012,3,2012.66666666667,0.68333828944528,0.0458076400252896,0.161001873711516,0.109852196817914,7.10416953610458,21.70448718
